Date,Pick Rank,Batter,Projected Pitcher,Hit Probability,Outcome,Home Team,batter,pitcher,gamePk,started,ab,h,bb,OutcomeIndicator
2026-04-04,1,Trea Turner,Unknown,72.99316636714451,"Hit, 2-4",@COL,607208,99999999,824378,True,4.0,2.0,1.0,1
2026-04-04,2,Jonathan Aranda,Mick Abel,72.22143192749019,"Hit, 1-5",@MIN,666018,690953,823730,True,5.0,1.0,0.0,1
2026-04-04,3,Yandy Diaz,Mick Abel,71.36502658632443,"Hit, 1-3",@MIN,650490,690953,823730,True,3.0,1.0,0.0,1
2026-04-04,4,Brendan Donovan,Jack Kochanowicz,71.23873435105862,Did Not Start,@LAA,680977,686799,824054,,,,,2
2026-04-04,5,Brice Turang,Seth Lugo,70.31012262379964,"Hit, 1-4",@KC,668930,607625,824134,True,4.0,1.0,0.0,1
2026-04-04,6,Luis Arraez,Clay Holmes,70.25888510590485,"No Hit, 0-4",SF,650333,605280,823239,True,4.0,0.0,0.0,0
2026-04-04,7,Hunter Goodman,Jesus Luzardo,69.97085703371778,"No Hit, 0-4",COL,696100,666200,824378,True,4.0,0.0,0.0,0
2026-04-04,8,Shohei Ohtani,Jake Irvin,69.79426621544846,"Hit, 2-6",@WSH,660271,663623,822757,True,6.0,2.0,0.0,1
2026-04-04,9,Roman Anthony,Randy Vasquez,69.61919247824461,"Hit, 2-4",BOS,701350,681190,824782,True,4.0,2.0,0.0,1
2026-04-04,10,Ketel Marte,Bryce Elder,69.27742435894271,"No Hit, 0-3",AZ,606466,693821,825104,True,3.0,0.0,0.0,0
2026-04-03,1,Troy Johnston,Aaron Nola,73.71090492226985,"Hit, 1-4",COL,687859,605400,824377,True,4.0,1.0,0.0,1
2026-04-03,2,Trea Turner,Michael Lorenzen,73.4029149753334,"Hit, 3-4",@COL,607208,547179,824377,True,4.0,3.0,0.0,1
2026-04-03,3,Jonathan Aranda,Bailey Ober,72.13352579701831,"No Hit, 0-5",@MIN,666018,641927,823732,True,5.0,0.0,0.0,0
2026-04-03,4,Yandy Diaz,Bailey Ober,70.98723116272546,"Hit, 1-2",@MIN,650490,641927,823732,True,2.0,1.0,2.0,1
2026-04-03,5,Nico Hoerner,Joey Cantillo,70.04589452418561,"No Hit, 0-2",@CLE,663538,676282,824458,True,2.0,0.0,2.0,0
2026-04-03,6,Shohei Ohtani,Miles Mikolas,69.94842308323923,"Hit, 2-5",@WSH,660271,571945,822758,True,5.0,2.0,0.0,1
2026-04-03,7,Ronald Acuna Jr.,Eduardo Rodriguez,69.9373809724567,"Hit, 1-4",@AZ,660670,593958,825103,True,4.0,1.0,0.0,1
2026-04-03,8,Hunter Goodman,Aaron Nola,69.6780353575079,"No Hit, 0-4",COL,696100,605400,824377,True,4.0,0.0,0.0,0
2026-04-03,9,Jose Altuve,Jeffrey Springs,69.37146988204307,"No Hit, 0-1",@OAK,514888,605488,825026,True,1.0,0.0,1.0,0
2026-04-03,10,Luis Arraez,Nolan McLean,68.87024742139776,"Hit, 1-4",SF,650333,690997,823240,True,4.0,1.0,0.0,1
2026-04-02,1,Ketel Marte,Reynaldo Lopez,69.92483753422569,"No Hit, 0-4",AZ,606466,625643,825105,True,4.0,0.0,0.0,0
2026-04-02,2,Austin Martin,Cole Ragans,68.98799448641299,"No Hit, 0-3",@KC,668885,666142,824133,True,3.0,0.0,0.0,0
2026-04-02,3,Bo Bichette,Robbie Ray,68.60044350347563,"Hit, 1-4",@SF,666182,592662,823242,True,4.0,1.0,0.0,1
2026-04-02,4,Luis Arraez,David Peterson,68.07440087226622,"Hit, 2-5",SF,650333,656849,823242,True,5.0,2.0,0.0,1
2026-04-02,5,Corbin Carroll,Reynaldo Lopez,67.295618656075,"No Hit, 0-3",AZ,682998,625643,825105,True,3.0,0.0,0.0,0
2026-04-02,6,Drake Baldwin,Ryne Nelson,67.25765348601044,"Hit, 1-6",@AZ,686948,669194,825105,True,6.0,1.0,0.0,1
2026-04-02,7,Luke Keaschall,Cole Ragans,67.22597221378751,"Hit, 2-4",@KC,807712,666142,824133,True,4.0,2.0,0.0,1
2026-04-02,8,Byron Buxton,Cole Ragans,66.87489052030185,"No Hit, 0-3",@KC,621439,666142,824133,True,3.0,0.0,0.0,0
2026-04-02,9,Geraldo Perdomo,Reynaldo Lopez,66.83598017260647,"Hit, 1-1",AZ,672695,625643,825105,True,1.0,1.0,1.0,1
2026-04-02,10,Maikel Garcia,Taj Bradley,66.79036300118922,"Hit, 1-3",KC,672580,671737,824133,True,3.0,1.0,1.0,1
